# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2015)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Jul 24 07:38:22 2018
# Molecular abundance atmprofile: Earth at 4084 m, NASA/MERRA 2017/01/02
# Molecules considered: H2O,CO2,O3,O2
# Molecular sources: HIT[1],HIT[2],HIT[3],HIT[7]
# Molecular abundances: 50,1,1,1
# Molecular abundance units: ppm,scl,scl,scl
# ------------------------------------------------------------------------
# Spectral unit: Frequency[GHz]
# Wave/freq Total H2O CO2 O3 O2
8.180000000e+02  0.81924  0.84306  1.00000  0.98795  0.98360
8.170000000e+02  0.82633  0.84116  1.00000  0.99779  0.98454
8.160000000e+02  0.82473  0.83922  1.00000  0.99740  0.98529
8.150000000e+02  0.82117  0.83726  1.00000  0.99485  0.98586
8.140000000e+02  0.77189  0.83527  1.00000  0.93699  0.98625
8.130000000e+02  0.77538  0.83325  1.00000  0.94341  0.98637
8.120000000e+02  0.80856  0.83121  1.00000  0.98799  0.98454
8.110000000e+02  0.75373  0.82914  1.00000  0.92472  0.98306
8.100000000e+02  0.80749  0.82705  1.00000  0.98942  0.98679
8.090000000e+02  0.80958  0.82493  1.00000  0.99418  0.98713
8.080000000e+02  0.73836  0.82279  1.00000  0.90894  0.98721
8.070000000e+02  0.79204  0.82062  1.00000  0.97773  0.98717
8.060000000e+02  0.80549  0.81843  1.00000  0.99708  0.98707
8.050000000e+02  0.80141  0.81620  1.00000  0.99489  0.98692
8.040000000e+02  0.80052  0.81324  1.00000  0.99768  0.98663
8.030000000e+02  0.79477  0.80905  1.00000  0.99614  0.98616
8.020000000e+02  0.78183  0.80453  1.00000  0.98602  0.98558
8.010000000e+02  0.78627  0.79972  1.00000  0.99827  0.98489
8.000000000e+02  0.78025  0.79458  1.00000  0.99784  0.98409
7.990000000e+02  0.75709  0.78897  1.00000  0.97598  0.98316
7.980000000e+02  0.76588  0.78160  1.00000  0.99775  0.98209
7.970000000e+02  0.75920  0.77517  1.00000  0.99854  0.98082
7.960000000e+02  0.75344  0.77080  1.00000  0.99809  0.97934
7.950000000e+02  0.74368  0.76434  1.00000  0.99526  0.97758
7.940000000e+02  0.73375  0.75719  1.00000  0.99348  0.97538
7.930000000e+02  0.67916  0.74951  1.00000  0.93221  0.97218
7.920000000e+02  0.70566  0.74130  1.00000  0.98797  0.96356
7.910000000e+02  0.69022  0.73254  1.00000  0.99700  0.94507
7.900000000e+02  0.69430  0.72315  1.00000  0.99823  0.96181
7.890000000e+02  0.68251  0.71311  1.00000  0.99785  0.95915
7.880000000e+02  0.66925  0.70238  1.00000  0.99842  0.95432
7.870000000e+02  0.65322  0.69085  1.00000  0.99749  0.94788
7.860000000e+02  0.62356  0.67851  1.00000  0.97774  0.93975
7.850000000e+02  0.56365  0.66529  1.00000  0.91077  0.92943
7.840000000e+02  0.57701  0.65104  1.00000  0.96761  0.91590
7.830000000e+02  0.55369  0.63575  1.00000  0.96943  0.89812
7.820000000e+02  0.49964  0.61928  1.00000  0.92470  0.87379
7.810000000e+02  0.50154  0.60158  1.00000  0.99246  0.84007
7.800000000e+02  0.43468  0.58257  1.00000  0.94044  0.79189
7.790000000e+02  0.39992  0.56203  1.00000  0.99037  0.71838
7.780000000e+02  0.32562  0.53995  1.00000  0.99540  0.60540
7.770000000e+02  0.21551  0.51614  1.00000  0.97346  0.42706
7.760000000e+02  0.08177  0.49057  1.00000  0.91230  0.18628
7.750000000e+02  0.00993  0.46285  1.00000  0.99433  0.02139
7.740000000e+02  0.00021  0.43363  1.00000  0.99539  0.00045
7.730000000e+02  0.00208  0.40221  1.00000  0.99767  0.00537
7.720000000e+02  0.04203  0.36878  1.00000  0.99800  0.11588
7.710000000e+02  0.11681  0.33337  1.00000  0.99831  0.35427
7.700000000e+02  0.16351  0.29625  1.00000  0.99858  0.55506
7.690000000e+02  0.17590  0.25767  1.00000  0.99820  0.68604
7.680000000e+02  0.16622  0.21821  1.00000  0.98987  0.77077
7.670000000e+02  0.14541  0.17855  1.00000  0.98721  0.82584
7.660000000e+02  0.11233  0.13985  1.00000  0.93526  0.86265
7.650000000e+02  0.09060  0.10357  1.00000  0.98635  0.88874
7.640000000e+02  0.06437  0.07091  1.00000  0.99803  0.91046
7.630000000e+02  0.04045  0.04379  1.00000  0.99877  0.92551
7.620000000e+02  0.02170  0.02323  1.00000  0.99726  0.93701
7.610000000e+02  0.00947  0.01005  1.00000  0.99662  0.94593
7.600000000e+02  0.00289  0.00309  1.00000  0.98595  0.95307
7.590000000e+02  0.00057  0.00059  1.00000  0.99766  0.95881
7.580000000e+02  0.00007  0.00007  1.00000  0.98629  0.96350
7.570000000e+02  0.00000  0.00000  1.00000  0.90917  0.96741
7.560000000e+02  0.00000  0.00000  1.00000  0.99527  0.97065
7.550000000e+02 -0.00000 -0.00000  1.00000  0.99032  0.97336
7.540000000e+02 -0.00000 -0.00000  1.00000  0.96384  0.97554
7.530000000e+02  0.00000  0.00000  1.00000  0.99630  0.97698
7.520000000e+02 -0.00000 -0.00000  1.00000  0.97859  0.97434
7.510000000e+02  0.00000  0.00000  1.00000  0.97728  0.97024
7.500000000e+02  0.00000  0.00000  1.00000  0.99493  0.98021
7.490000000e+02  0.00000  0.00000  1.00000  0.93525  0.98308
7.480000000e+02  0.00000  0.00000  1.00000  0.98694  0.98442
7.470000000e+02  0.00000  0.00000  1.00000  0.92156  0.98543
7.460000000e+02  0.00004  0.00004  1.00000  0.98271  0.98627
7.450000000e+02  0.00039  0.00040  1.00000  0.99766  0.98697
7.440000000e+02  0.00325  0.00330  1.00000  0.99781  0.98749
7.430000000e+02  0.01058  0.01081  1.00000  0.98990  0.98773
7.420000000e+02  0.02363  0.02412  1.00000  0.99054  0.98781
7.410000000e+02  0.04238  0.04370  1.00000  0.98374  0.98769
7.400000000e+02  0.06277  0.06803  1.00000  0.92591  0.98731
7.390000000e+02  0.09285  0.09460  1.00000  0.99375  0.98661
7.380000000e+02  0.11885  0.12086  1.00000  0.99782  0.98554
7.370000000e+02  0.14150  0.14423  1.00000  0.99714  0.98392
7.360000000e+02  0.15839  0.16228  1.00000  0.99426  0.98156
7.350000000e+02  0.16570  0.17326  1.00000  0.97781  0.97816
7.340000000e+02  0.16518  0.17592  1.00000  0.96500  0.97314
7.330000000e+02  0.16382  0.17015  1.00000  0.99745  0.96519
7.320000000e+02  0.25004  0.26031  1.00000  0.99852  0.95912
7.310000000e+02  0.38273  0.41110  1.00000  0.99805  0.93223
7.300000000e+02  0.42621  0.43960  1.00000  0.99047  0.97878
7.290000000e+02  0.46074  0.46882  1.00000  0.99855  0.98415
7.280000000e+02  0.48763  0.49609  1.00000  0.99811  0.98482
7.270000000e+02  0.50614  0.52148  1.00000  0.98638  0.98411
7.260000000e+02  0.53418  0.54518  1.00000  0.99713  0.98265
7.250000000e+02  0.55457  0.56717  1.00000  0.99737  0.98038
7.240000000e+02  0.56540  0.58757  1.00000  0.98494  0.97707
7.230000000e+02  0.54532  0.60652  1.00000  0.92415  0.97226
7.220000000e+02  0.60043  0.62413  1.00000  0.99692  0.96505
7.210000000e+02  0.60803  0.64051  1.00000  0.99543  0.95368
7.200000000e+02  0.57280  0.65575  1.00000  0.93470  0.93447
7.190000000e+02  0.59192  0.66994  1.00000  0.98320  0.89868
